Time, Latitude, Longitude
1665, 			36.230125lon=-116.76729, 			lat=36.230125-116.76729
1670, 			36.22984lon=-116.76691, 			lat=36.22984-116.76691
1675, 			36.229797lon=-116.76701, 			lat=36.229797-116.76701
1680, 			36.25306lon=-116.77418, 			lat=36.25306-116.77418
1685, 			36.278088lon=-116.79948, 			lat=36.278088-116.79948
1690, 			36.297565lon=-116.81334, 			lat=36.297565-116.81334
1695, 			36.29563lon=-116.81626, 			lat=36.29563-116.81626
1700, 			36.28585lon=-116.82615, 			lat=36.28585-116.82615
1705, 			36.28591lon=-116.826065, 			lat=36.28591-116.826065
1710, 			36.28578lon=-116.82608, 			lat=36.28578-116.82608
1715, 			36.285908lon=-116.826225, 			lat=36.285908-116.826225
1720, 			36.28589lon=-116.82611, 			lat=36.28589-116.82611
1725, 			36.285812lon=-116.82614, 			lat=36.285812-116.82614
1730, 			36.285824lon=-116.82618, 			lat=36.285824-116.82618
1735, 			36.28586lon=-116.826256, 			lat=36.28586-116.826256
1740, 			36.291344lon=-116.822105, 			lat=36.291344-116.822105
1745, 			36.333366lon=-116.811485, 			lat=36.333366-116.811485
1750, 			36.35959lon=-116.79857, 			lat=36.35959-116.79857
1755, 			36.361412lon=-116.802505, 			lat=36.361412-116.802505
1760, 			36.361412lon=-116.802505, 			lat=36.361412-116.802505
1765, 			36.361412lon=-116.802505, 			lat=36.361412-116.802505
1770, 			36.367325lon=-116.80879, 			lat=36.367325-116.80879
1775, 			36.3838lon=-116.82697, 			lat=36.3838-116.82697
1780, 			36.400963lon=-116.84682, 			lat=36.400963-116.84682
1785, 			36.45126lon=-116.84924, 			lat=36.45126-116.84924
1790, 			36.413155lon=-116.80068, 			lat=36.413155-116.80068
1795, 			36.37927lon=-116.738365, 			lat=36.37927-116.738365
1800, 			36.37464lon=-116.67706, 			lat=36.37464-116.67706
1805, 			36.343292lon=-116.60767, 			lat=36.343292-116.60767
1810, 			36.308952lon=-116.52764, 			lat=36.308952-116.52764
1815, 			36.304104lon=-116.43964, 			lat=36.304104-116.43964
1820, 			36.26695lon=-116.434654, 			lat=36.26695-116.434654
1825, 			36.209507lon=-116.38549, 			lat=36.209507-116.38549
1830, 			36.15767lon=-116.32083, 			lat=36.15767-116.32083
1835, 			36.080593lon=-116.29445, 			lat=36.080593-116.29445
1840, 			36.00465lon=-116.28386, 			lat=36.00465-116.28386
1845, 			35.94126lon=-116.26947, 			lat=35.94126-116.26947
1850, 			35.8738lon=-116.27997, 			lat=35.8738-116.27997
1855, 			35.812424lon=-116.33258, 			lat=35.812424-116.33258
1860, 			35.75028lon=-116.3161, 			lat=35.75028-116.3161
1865, 			35.674477lon=-116.29933, 			lat=35.674477-116.29933
1870, 			35.6115lon=-116.25705, 			lat=35.6115-116.25705
1875, 			35.55425lon=-116.19063, 			lat=35.55425-116.19063
1880, 			35.47801lon=-116.16663, 			lat=35.47801-116.16663
1885, 			35.406193lon=-116.12964, 			lat=35.406193-116.12964
1890, 			35.340645lon=-116.08297, 			lat=35.340645-116.08297
1895, 			35.278362lon=-116.067566, 			lat=35.278362-116.067566
1900, 			35.277092lon=-116.05746, 			lat=35.277092-116.05746
